category,subcategory,artwork_number,title,dimensions,date,edition,technique,exhibition_locations,represented_in_public_collections,local_image_path,original_image_url,source_page
Prints,1996-2001,131,The Reincarnation of a Cactus,710 x 600 mm,1996,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/131_(K)_The_Reincarnation_of_a_Cactus_.br.710x600_mm406d48ff193.jpg,http://agathesorel.co.uk/Prints/131_(K)_The_Reincarnation_of_a_Cactus_.br.710x600_mm406d48ff193.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,132,The Ghost of el Greco with poem (Catalana Blanca),,1997,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/132_The_Ghost_of_el_Greco_with_poem_(Catalana_Blanca)_1997_406d4905194.jpg,http://agathesorel.co.uk/Prints/132_The_Ghost_of_el_Greco_with_poem_(Catalana_Blanca)_1997_406d4905194.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,133,The Ghost of el Greco (Catalana Blanca),,1997,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/133_(K)_The_Ghost_of_el_Greco_(Catalana_Blanca)_1997_.br.780406d4908195.jpg,http://agathesorel.co.uk/Prints/133_(K)_The_Ghost_of_el_Greco_(Catalana_Blanca)_1997_.br.780406d4908195.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,134,Catalana Blanca (Catalana Blanca),630 x 900 mm,1997,,Print,"Bankside Gallery, London (Catalana Blanca Exhibition, 2002)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/134_(K)_Catalana_Blanca_(Catalana_Blanca)_1997_.br.630x900_m406d490a196.jpg,http://agathesorel.co.uk/Prints/134_(K)_Catalana_Blanca_(Catalana_Blanca)_1997_.br.630x900_m406d490a196.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,135,Nijinsky (Catalana Blanca),780 x 600 mm,1997,,Print,"Bankside Gallery, London (Catalana Blanca Exhibition, 2002)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/135_(K)_Nijinsky_(Catalana_Blanca)_1997_.br.780x600_mm_406d490b197.jpg,http://agathesorel.co.uk/Prints/135_(K)_Nijinsky_(Catalana_Blanca)_1997_.br.780x600_mm_406d490b197.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,136,Metamorphosis (Catalana Blanca),780 x 600 mm,1997,,Print,"Bankside Gallery, London (Catalana Blanca Exhibition, 2002)","Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/136_Metamorphosis_(Catalana_Blanca)_1997_.br.780x600_mm_406d490d198.jpg,http://agathesorel.co.uk/Prints/136_Metamorphosis_(Catalana_Blanca)_1997_.br.780x600_mm_406d490d198.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,137,Monument to a Housewife,780 x 600 mm,1997,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/137_(K)_Monument_to_a_Housewife_1997_.br.780x600_mm_406d490f199.jpg,http://agathesorel.co.uk/Prints/137_(K)_Monument_to_a_Housewife_1997_.br.780x600_mm_406d490f199.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,138,Still life with Beans,600 x 780 mm,1997,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/138_(K)_Still_life_with_Beans_1997_.br.600x780_mm_406d4912200.jpg,http://agathesorel.co.uk/Prints/138_(K)_Still_life_with_Beans_1997_.br.600x780_mm_406d4912200.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,139,From Van Gogh to Einstein,600 x 430 mm,1999,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/139__From_Van_Gogh_to_Einstein_1999_.br.600x430_mm_406d4914201.jpg,http://agathesorel.co.uk/Prints/139__From_Van_Gogh_to_Einstein_1999_.br.600x430_mm_406d4914201.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,140,The bowels of the earth,780 x 600 mm,1996,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/140_The_bowels_of_the_earth_1996_.br.780x600_mm_406d4916202.jpg,http://agathesorel.co.uk/Prints/140_The_bowels_of_the_earth_1996_.br.780x600_mm_406d4916202.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
