site_index,title,match,field,old,new
2,Indian Rug with Yellow Edges,probable,date,2011,2012
2,Indian Rug with Yellow Edges,probable,dimensions,210 x 300 mm,300 x 210 mm
4,No 2 Tissues,probable,technique_detail,,Digital print and collage
4,No 2 Tissues,probable,date,2011,2012
5,No 3 Tissues,probable,technique_detail,,Digital print and collage
5,No 3 Tissues,probable,date,2011,2012
6,Dotty Sculls,exact,technique_detail,,Digital Print
6,Dotty Sculls,exact,date,2011,2013
115,Indian rug with engraved sculpture,probable,technique_detail,,Digital montage and wood cut
115,Indian rug with engraved sculpture,probable,date,2007,2008
110,The broken fence,exact,technique_detail,,Digital montage and surface print
110,The broken fence,exact,date,2007,2008
110,The broken fence,exact,dimensions,920 x 1280 mm,1280 x 920 mm
358,01 To challenge.jpg,probable,technique_detail,,Digital montage & Collage
359,02 Choose Life,probable,technique_detail,,Digital montage & Collage
360,03 Music Turns Back Clock,probable,technique_detail,,Digital montage & Collage
361,04 Inspire Dreams,probable,technique_detail,,Digital montage
363,06 Listen to the Heart,probable,technique_detail,,Digital montage
365,08 Just a New Promise,probable,technique_detail,,Digital print
362,05 Finding reasons,probable,technique_detail,,digital print
362,05 Finding reasons,probable,dimensions,600 x 460 mm,297 x 210 mm
364,07 Old Master 42005,probable,technique_detail,,digital print
364,07 Old Master 42005,probable,date,,2005
364,07 Old Master 42005,probable,dimensions,60 x 620 mm,297 x 210 mm
368,01 Three Youths,exact,technique_detail,,Watercolour and collage
369,02 Airport Beach,exact,technique_detail,,Watercolour and collage
370,03 At the Well,exact,technique_detail,,Watercolour and collage
371,03 Banter,exact,technique_detail,,Watercolour and collage
371,03 Banter,exact,dimensions,200 x 280 mm,280 x 200 mm
372,04 Elders,exact,technique_detail,,Watercolour and collage
373,05 Girls playing Beachball,exact,technique_detail,,Watercolour and collage
374,06 Music and Dance,exact,technique_detail,,Watercolour and collage
375,07 Salome,exact,technique_detail,,Watercolour and collage
376,08 Sexy Woman,exact,technique_detail,,Watercolour and collage
377,09 The Entrance,exact,technique_detail,,Watercolour and collage
378,10 The Faun,exact,technique_detail,,Watercolour and collage
379,11 The Procession,exact,technique_detail,,Watercolour and collage
380,12 Woman with Bananas,exact,technique_detail,,Watercolour collage
408,Backdrop Aurangabad,probable,technique_detail,,watercolour
408,Backdrop Aurangabad,probable,date,,2007
407,Aurangabad Mill,probable,technique_detail,,watercolour
407,Aurangabad Mill,probable,date,,2007
407,Aurangabad Mill,probable,dimensions,520 x 380 mm,520 x 350 mm
409,Bikaner lake 1,exact,technique_detail,,watercolour
409,Bikaner lake 1,exact,date,,2007
410,Bikaner lake 2,exact,technique_detail,,watercolour
410,Bikaner lake 2,exact,date,,2007
411,Hill Station Aurangabad,exact,technique_detail,,watercolour
411,Hill Station Aurangabad,exact,date,,2007
412,Desert with Trees Bikaner,probable,technique_detail,,watercolour
412,Desert with Trees Bikaner,probable,date,,2007
417,Pottery Stall Aurangabad,exact,technique_detail,,Watercolour
417,Pottery Stall Aurangabad,exact,date,,2007
413,Pushkar Sunset,exact,technique_detail,,watercolour
413,Pushkar Sunset,exact,date,,2007
415,Taj Garden,exact,technique_detail,,Watercolour
415,Taj Garden,exact,date,,2007
416,Varanasi Gats,exact,technique_detail,,Watercolour
416,Varanasi Gats,exact,date,,2007
418,Pushkar Farmland,exact,technique_detail,,watercolour
418,Pushkar Farmland,exact,date,,2007
439,14 Mother and Daoughter on the Beach,exact,technique_detail,,watercolour
435,10 The Thorn,exact,technique_detail,,watercolour
435,10 The Thorn,exact,dimensions,200 x 280 mm,630 x 480 mm
440,15 Dotty Women,exact,technique_detail,,watercolour
440,15 Dotty Women,exact,date,,1998
443,18 Figures on a Cloudy Beach,exact,technique_detail,,watercolour
443,18 Figures on a Cloudy Beach,exact,dimensions,430 x 590 mm,430 x 540 mm
420,Children with Pet Goats Bikaner,probable,technique_detail,,watercolour
420,Children with Pet Goats Bikaner,probable,date,,2006
420,Children with Pet Goats Bikaner,probable,dimensions,490 x 660 mm,480 x 640 mm
448,23 The Cockerel Sheherezade,exact,technique_detail,,watercolour
448,23 The Cockerel Sheherezade,exact,date,2001,2002
448,23 The Cockerel Sheherezade,exact,dimensions,570 x 450 mm,470 x 600 mm
455,30 The green Mine,exact,technique_detail,,watercolour
455,30 The green Mine,exact,date,,1980
