site_index,title,match,field,old,new
108,Meltingpoint,exact,technique_detail,,"Deep-bite drilling. Colour viscosity print in black, red & mauve"
108,Meltingpoint,exact,dimensions,780 x 600 mm,800 x 590 mm
109,The Escapist,exact,dimensions,780 x 600 mm,800 x 600 mm
116,Sappho,exact,technique_detail,,"Line engraving, & brass cut-out, printed in black, ochre, pink & red"
117,The Wise and Foolish Virgin,exact,technique_detail,,"Line engraving, aquatint, hammered brass, photogravure & plastic engraving, printed in black, blue & yellow"
118,Old Wife's Tale,exact,technique_detail,,"Line engraving, aquatint & surface rolled brass, printed in black, ochre, pink & red"
119,Play,exact,technique_detail,,"Photogravure, aquatint, cutout & rope. Vignette. Printed in black, green, magenta, yellow & gray"
120,Pool on the 30th Floor,exact,technique_detail,,"Line engraving, aquatint, drypoint & metal cut-out vignette. Printed in blue, grey, red,& ultramarine"
121,Three new Creatures,exact,technique_detail,,"Deep bite, dry point, heat branded plastic, printed in blue, red, black, yellow, mauve & ochre"
122,Diver and Dreamer,exact,technique_detail,,"Deep bite, aquatint& plastic engraving, printed in purple-black, ochre, orange, & yellow vignette"
122,Diver and Dreamer,exact,dimensions,780 x 600 mm,800 x 600 mm
123,Observed in High Spirits,exact,technique_detail,,"Deep bite, aquatint, surface rolled brass cut out, printed in black, brown, yellow, red, green, & blue"
123,Observed in High Spirits,exact,dimensions,780 x 600 mm,600 x 780 mm
124,By the Drunken Photographer,exact,technique_detail,,"Line engraving, aquatint & surface rolled brass cut out, printed in black, green & brown"
125,Discarded Dreams,exact,technique_detail,,"Line engraving, surface rolled brass cut out, printed in black, red, ochre, blue & green"
125,Discarded Dreams,exact,dimensions,780 x 600 mm,600 x 780 mm
126,Green People,exact,technique_detail,,"Photo etching, deep bite & surface printed brass cut out. vignette"
126,Green People,exact,dimensions,780 x 600 mm,800 x 600 mm
127,Birds,exact,technique_detail,,"Photo etched intaglio & plastic cut out, printed in blue-black, green, blue & yellow"
128,Six Months in the Air,exact,technique_detail,,"Deep etched, engraved, aquatint brass cut out, printed in brown-black, red, yellow, pink & purple"
129,Balance,exact,technique_detail,,"Line engraving, aquatint, dry point, brass cut out, printed in black, blue, yellow & green Vignette"
130,"Bird, Land and Ribs",exact,technique_detail,,"Deep bite, etching, aquatint & stencil, printed in black & blue Vignette"
131,Danger,exact,technique_detail,,"Photo etching & mezzotint on plastics, printed in green black, blue-black, yellow, brown, & green"
132,Bravado,exact,technique_detail,,"Etching & deep bite with brass cut outs, printed in black, red, yellow, purple,& ochre Vignette"
133,Beginning,exact,technique_detail,,"Line engraving, aquatint & brass cut out, printed in black, red, & yellow Vignette"
134,Heroes in Perspective,exact,technique_detail,,"Heat branded plastic, photo etching & line engraving, printed in black, blue, ochre & red Vignette"
134,Heroes in Perspective,exact,dimensions,600 x 780 mm,600 x 789 mm
135,Temptations,exact,technique_detail,,"Sugar aquatint, deep bite, machine-engraving & heat branded plastic, printed in blue-black, brown, pink, magenta & turquoise"
136,The Sculpture Garden,exact,technique_detail,,"Line engraving, aquatint, with dry point on plastics, printed in green-black, red & yellow Vignette"
136,The Sculpture Garden,exact,dimensions,600 x 780 mm,600 x 800 mm
137,Posessions,exact,technique_detail,,"Dry point on plastics, etching, aquatint on copper printed in green-black, red & yellow Vignette"
137,Posessions,exact,dimensions,780 x 600 mm,800 x 600 mm
138,Shell,exact,technique_detail,,"Multi layered plastic cut out, dry point, engraving, printed in brown, mauve, blue, yellow, red & olive green Vignette"
138,Shell,exact,dimensions,780 x 600 mm,800 x 600 mm
139,New Dove,exact,technique_detail,,"Computer generated litho & surface print in black, grey, red & orange Vignette"
139,New Dove,exact,dimensions,780 x 600 mm,800 x 600 mm
140,The Preservation of Life,exact,technique_detail,,"Line engraving & dry point on plastic, printed in blue, brown & olive Vignette"
140,The Preservation of Life,exact,dimensions,780 x 600 mm,800 x 600 mm
141,Starlet,exact,technique_detail,,"Folded, hammered brass & extruded metal cut-out, printed in blue, black with mirror foil applied Vignette"
141,Starlet,exact,dimensions,780 x 600 mm,800 x 600 mm
142,Virtuosos,exact,technique_detail,,"Line engraving, aquatint & brass cut outs, printed in brown-black, grey yellow, red & olive"
143,Homes,exact,technique_detail,,"Dry point on plastic, printed in brown-black & green Vignette"
143,Homes,exact,dimensions,780 x 600 mm,600 x 780 mm
144,Dark Satanic Mills,exact,technique_detail,,"Photo etching, heat branded plastic & plastic engraving, printed in brown-black, grey & green"
145,Blueprint for Survival,exact,technique_detail,,"Photo etching & plastic engraving, printed in purple-black, blue, orange & purple"
146,Sunbathers,exact,technique_detail,,"Plastic engraving, dry point & aquatint, printed in blue, green, orange, mauve & turquoise"
147,Let's go and Watch,exact,technique_detail,,"Photo etching, line engraving, soft ground & plastic engraving, printed in black, yellow, red & green. vignette"
148,Swinger,exact,technique_detail,,"Machine engraved and heat-branded plastics, dry point, and mezzotint, printed in black, blue, red, ochre & magenta vignette"
149,Watching the Garden Grow,exact,technique_detail,,"Heat branded plastic & mezzotint, printed in black, blue, yellow, & ochre. vignette"
149,Watching the Garden Grow,exact,dimensions,,780 x 600 mm
150,Nocturn,exact,technique_detail,,"Line engraving & aquatint on copper & dry pointed plastic, printed in black, brown, blue & mauve vignette"
151,By the Drunken Photographer,exact,technique_detail,,"Line engraving, aquatint & folded brass cut-outs, printed in black, green & brown"
152,On the Farm,exact,technique_detail,,"Heat branded plastic, bubble wrap, dry point, printed in black, blue, red & ochre vignette"
153,Bougainvillea,exact,technique_detail,,"Line engraving & mezzotint on copper & heat branded plastic, printed in black, red, blue, yellow & brown. vignette"
154,Rechargeing Batteries,exact,technique_detail,,"Mezzotint And heat-branding on plastic, printed in black, grey, brown,& pink"
155,nossos,probable,technique_detail,,"Aquatint, on zinc, plastic engraving, printed red, green, blue, with pink & white plastic collage. vignette"
155,nossos,probable,dimensions,600 x 780 mm,780 x 600 mm
156,The Grand Bathroom,exact,technique_detail,,"Engraving on plastic cut-outs, printed in black, blue, green yellow & brown vignette"
156,The Grand Bathroom,exact,dimensions,600 x 780 mm,780 x 600 mm
157,Give & Take,exact,technique_detail,,"Heat branding & dry-pointing on plastic, printed in black, blue, red, yellow & orange, vignette"
157,Give & Take,exact,dimensions,600 x 780 mm,780 x 600 mm
220,Woman in Waves,exact,technique_detail,,Photo litho
158,Contentment or Dog Scratching it's Back,exact,technique_detail,,"Heat branded engraved plastic & dry point, printed in black, ochre, grey & brown. vignette"
159,Water Sculpture,exact,technique_detail,,"Deep-bite on copper, engraving & dry-point on plastic, printed in purple, blue, brown & burnt Siena"
190,Biplanes and Catamarans,exact,technique_detail,,"Heat branded plastic & plastic engraving, printed in black, orange & red Vignette"
191,Agnus Dei,exact,technique_detail,,"Plastic engraving & mezzotint, printed in black, blue, grey red, yellow, mauve & orange"
192,Sphinx,exact,technique_detail,,"Computer generated photo etching & plastic engraving, printed in black, grey, blue, brown, orange & blue"
193,The Waterhole,exact,technique_detail,,"Photo litho, plastic engraving & woodcut, printed in black, pink, brown, green, red, grey & ochre Vignette"
194,Colours Must Sing,exact,technique_detail,,"Engraving on plastic, mezzotint & dry point, printed in black, red, pink, blue, orange & yellow. Vignette"
195,Orpheus,exact,technique_detail,,"Dry point on heat branded plastics & aquatint on copper, printed in black, red, grey, orange & green Vignette"
196,Tournament,exact,technique_detail,,"Brushed aquatint, line engraving, colour intaglio & surface print, printed in black, red, green-black, blue, ochre & yellow"
197,Gipsies,exact,technique_detail,,"Etching & aquatint, heat-branded plastic, printed in black, ochre, red, pink, orange & blue Vignette"
198,Let the Angels Sing,exact,technique_detail,,"Plastics engraving, heat branding & mezzotint, printed in black, blue, grey & orange"
199,Before the Pilons Came,exact,technique_detail,,"Engraving, heat branding & mezzotint, printed in red, blue, green, yellow & burnt Siena. Vignette"
200,Historic Couple,exact,technique_detail,,"Heat branded plastic, engraving, mezzotint, printed in black, blue, red, grey, yellow & brown Vignette"
201,Weight Watcher,exact,technique_detail,,"Etching & heat branded plastic, printed in black, ochre, pink & grey"
201,Weight Watcher,exact,dimensions,590 x 800 mm,780 x 600 mm
202,Lady in a Hammock,exact,technique_detail,,"Photo etching & line engraving on plastic, printed in black, grey & brown Vignette"
203,The Road is Up,exact,technique_detail,,"Heat branded plastic & dry point, printed in black, blue, red, ochre, brown & purple"
204,Lanzarote,exact,technique_detail,,"Heat branded plastic, dry point, etched plastic, printed in black, pink, yellow, blue, & green Vignette"
205,Hello and Goodby,exact,technique_detail,,"Photo litho & plastics engraving, printed in black, red, grey & yellow Vignette (Two sheets)"
205,Hello and Goodby,exact,dimensions,780 x 110 mm,780 x 108 mm
206,The Bird the Snake & the Stone Lion,exact,technique_detail,,"Brushed aquatint, line engraving on zinc & copper, Printed in purple, green, blue, brown,& mauve"
207,Roots,exact,technique_detail,,"Plastic engraving & mezzotint, printed in black, grey, green, pink, yellow & red Vignette"
208,The Birdman,exact,technique_detail,,"Sugar aquatint, plastic engraving"
209,Allegory,exact,technique_detail,,"Engraving & heat branding & mezzotint on plastic, printed on black, yellow, pink & blue Vignette"
209,Allegory,exact,date,1976,1985
210,Mother Nature,exact,technique_detail,,"Plastic engraving, printed in black, grey, burnt Siena Vignette"
211,Shadows in a Tudor Barn,exact,technique_detail,,"Photo litho, heat branding, engraving on plastic, printed in black, blue & orange"
212,The Lure of Lost Cultures,exact,technique_detail,,"Mezzotint & heat branding on plastic printed in black, brown, blue & turquoise"
213,The Wind,exact,technique_detail,,"Engraving, heat branding, dry point, on plastic, printed in brown, black, blue & pink. vignette"
216,I Wish you Were Here,exact,technique_detail,,"Etching, aquatint & coloured, plastic engraving printed in black, blue, yellow, red, green & magenta"
217,Loops,exact,technique_detail,,Colour aquatint & line engraving on plastic
214,Penthouse,exact,technique_detail,,Etching and plastics engraving
218,And the Midgets Would Rule,exact,technique_detail,,"Photo etching & coloured mezzotint on plastic, printed in black, grey & orange"
219,The Silver Screen,exact,technique_detail,,"Photo etching & coloured mezzotint on plastic, printed in green-black, pink, blue & ochre"
221,Step into the Future,exact,technique_detail,,"Plastic engraving, photo etching & woodcut, printed in ochre, red, blue, & black. vignette"
221,Step into the Future,exact,dimensions,600 x 780 mm,780 x 600 mm
222,Airport Beach,exact,technique_detail,,Etching and plastic engraving
223,Ego the Goat,exact,technique_detail,,"Photo etching, line engraving, aquatint & plastic cut-out, printed in purple black, orange & light green"
223,Ego the Goat,exact,dimensions,600 x 800 mm,600 x 780 mm
