site_index,category,subcategory,title,date,dimensions
343,Livres d'artiste,Dartiste,The Reincarnation of a Cactus,,710 x 600 mm
344,Livres d'artiste,Dartiste,The Ghost of el Greco with poem (Catalana Blanca),1997,
345,Livres d'artiste,Dartiste,The Ghost of el Greco (Catalana Blanca),1997,
346,Livres d'artiste,Dartiste,Catalana Blanca (Catalana Blanca),1997,630 x 900 mm
347,Livres d'artiste,Dartiste,Nijinsky (Catalana Blanca),1997,780 x 600 mm
348,Livres d'artiste,Dartiste,Metamorphosis (Catalana Blanca),1997,780 x 600 mm
349,Livres d'artiste,Dartiste,The Spanish Couple (The Book of Sand),2001,580 x 440 mm
350,Livres d'artiste,Dartiste,Blake (The Book of Sand),2001,340 x 280 mm
351,Livres d'artiste,Dartiste,Men seen afar (The Book of Sand),2001,900 x 630 mm
352,Livres d'artiste,Dartiste,Winged Creatures (The Book of Sand),2001,780 x 530 mm
353,Livres d'artiste,Dartiste,The Round Dance (The Book of Sand),2001,900 x 630 mm
354,Livres d'artiste,Dartiste,The Janus Gaze (The Book of Sand),2001,800 x 590 mm
355,Livres d'artiste,Dartiste,Patterns Flow Like Rivers (The Book of Sand),2001,
356,Livres d'artiste,Dartiste,Women Waiting fot their Lovers (The Book of Sand),2001,
357,Livres d'artiste,Dartiste,Prelimilaries to Farewell (The Book of Sand),2001,
366,Livres d'artiste,Dartiste,Transparent plastic box for series with title page,,650 x 460 mm
367,Watercolours & Collages,Drawings mythologies 1985,Untitled,1985,
382,Watercolours & Collages,Blind drawings albert hall cirque du soliel,Acrobats and Dancers with Poles,,300 x 210 mm
391,Watercolours & Collages,Blind drawings albert hall cirque du soliel,The Big White Wheel light,,300 x 210 mm
398,Watercolours & Collages,Fairground in the sea,Playtime,,500 x 380 mm
399,Watercolours & Collages,Fairground in the sea,Shadows at the Cinema,,380 x 500 mm
406,Watercolours & Collages,India small,At the Aroungabad Caves,,380 x 520 mm
414,Watercolours & Collages,India small,Pushkar landscape,,380 x 520 mm
419,Watercolours & Collages,India small,Aurangabad market,,580 x 770 mm
