inv_section,inv_no,inv_title,inv_year,inv_size_mm,inv_technique,site_index,site_category,site_subcategory,site_title,site_date,site_dimensions,site_dims_source,site_technique,match,match_score,date_check,dim_check,technique_check
Prints & Graphic Works (1959-2005),115,The Bird man,1985,600x780,"Sugar aquatint, plastic engraving",208,Prints,1976-1996,The Birdman,1985,600 x 780 mm,field,Print,exact,0.96,ok,ok,site generic
Prints & Graphic Works (1959-2005),116,Allegory,1985,780x600,"Engraving & heat branding & mezzotint on plastic, printed on black, yellow, pink & blue Vignette",209,Prints,1976-1996,Allegory,1985,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),117,Mother Nature,1983,600x780,"Plastic engraving, printed in black, grey, burnt Siena Vignette",210,Prints,1976-1996,Mother Nature,1983,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),118,Shadows in a Tudor Barn,1984,780x600,"Photo litho, heat branding, engraving on plastic, printed in black, blue & orange",211,Prints,1976-1996,Shadows in a Tudor Barn,1984,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),119,The Lure of Lost Cultures,1985,600x780,"Mezzotint & heat branding on plastic printed in black, brown, blue & turquoise",212,Prints,1976-1996,The Lure of Lost Cultures,1985,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),120,The Wind (K),1984,780x600,"Engraving, heat branding, dry point, on plastic, printed in brown, black, blue & pink. vignette",213,Prints,1976-1996,The Wind,1984,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),120b,Divine Proportions,1985,600x780,Sugar Aquatint and plastic engravings,215,Prints,1976-1996,Divine Proportions,1985,780 x 600 mm,field,Print,exact,1.00,ok,orientation only,site generic
Prints & Graphic Works (1959-2005),121,I Wish you Were Here,1988,600x780,"Etching, aquatint & coloured, plastic engraving printed in black, blue, yellow, red, green & magenta",216,Prints,1976-1996,I Wish you Were Here,1988,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),122,Loops,1985,780x600,Colour aquatint & line engraving on plastic,217,Prints,1976-1996,Loops,1985,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),123,Penthouse,1985,780x600,Etching and plastics engraving,214,Prints,1976-1996,Penthouse,1985,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),124,And the Midgets Would Rule (K),1985,600x780,"Photo etching & coloured mezzotint on plastic, printed in black, grey & orange",218,Prints,1976-1996,And the Midgets Would Rule,1985,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),125,The Silver Screen (K),1985,600x780,"Photo etching & coloured mezzotint on plastic, printed in green-black, pink, blue & ochre",219,Prints,1976-1996,The Silver Screen,1985,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),126,Step into the Future (K),1986,780x600,"Plastic engraving, photo etching & woodcut, printed in ochre, red, blue, & black. vignette",221,Prints,1976-1996,Step into the Future,1986,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),127,Airport beach,1988,600x780,Etching and plastic engraving,222,Prints,1976-1996,Airport Beach,1988,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),128,Airport beach Sketch,1988,600x780,Plastic engraving and collage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),129,Musicians 1,1989,600x780,"Engraved hardboard, plastic engraving & dry point, printed in black, grey, red, blue, brown, & light green",,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),130,Musicians 2,1989,410x570,Engraved plastic and Collage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),131,Ego the Goat,1988,600x780,"Photo etching, line engraving, aquatint & plastic cut-out, printed in purple black, orange & light green",223,Prints,1976-1996,Ego the Goat,1988,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),132,The Dead and the Living (from triptych),1989,600x780,"Computer generated photo etching & woodcut, printed in black, raw umber & green",224,Prints,1976-1996,The Dead and the Living (from triptych),1989,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),133,Titania (from triptych) (K),1989,780x600,"Computer generated etching, line engraving & aquatint, printed in black, grey, red, green & blue",225,Prints,1976-1996,Titania (from triptych),1989,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),134,Swansong (from triptych),1989,600x780,"Line engraving & aquatint with plastic cut-outs, printed in brown-red, grey, magenta & yellow",226,Prints,1976-1996,Swansong (from-triptych),1989,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),135,The Venus Flytrap,1991,780x600,"Digital montage & woodcut, printed in black, blue, red green, orange & yellow",228,Prints,1976-1996,The Venus Flytrap,1991,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),136,Madame Guillotine (Deptford Market) (K),1996,600x780,"Digital montage & woodcut & Litho, printed in black, brown, purple & light green",229,Prints,1976-1996,Madame Guillotine (Deptford Market),1996,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),137,Stallholders (Deptford Market),1996,780x600,"Digital montage with litho, aquatint & woodcut, printed in black, green, yellow, orange, blue & brown",230,Prints,1976-1996,Stallholders (Deptford Market),1996,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),138,Market Vendor (Deptford Market),1996,780x600,"Digital litho, aquatint & woodcut, printed in black, red, blue, yellow & lilac",231,Prints,1976-1996,Market Vendor (Deptford Market),1996,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),139,Pile them High and Sell them Cheap (Deptford Market) (K),1996,780x600,"Digital montage, printed in black vignette",232,Prints,1976-1996,Pile them High and Sell them Cheep (Deptford Market),1996,780 x 600 mm,field,Print,exact,0.98,ok,ok,site generic
Prints & Graphic Works (1959-2005),140,"The Reincarnation of a Cactus (Artist's Book - Catalana Blanca, poems by Lorand Gaspar) (K)",1997,710x600,"Digital montage, printed in black. vignette",17,Prints,1996-2001,The Reincarnation of a Cactus,1997,710 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),141,The Ghost of el Greco with poem (Catalana Blanca),1997,,"Digital montage, printed in black vignette",18,Prints,1996-2001,The Ghost of el Greco with poem (Catalana Blanca),1997,,,Print,exact,1.00,ok,inventory has no size,site generic
Prints & Graphic Works (1959-2005),142,The Ghost of el Greco (Catalana Blanca) (K),1997,780x600,"Digital montage, printed in black. vignette",19,Prints,1996-2001,The Ghost of el Greco (Catalana Blanca),1997,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),143,Catalana Blanca (Catalana Blanca) (K),1997,630x900,"Digital montage, printed in black. vignette",20,Prints,1996-2001,Catalana Blanca (Catalana Blanca),1997,630 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),144,Nijinsky (Catalana Blanca) (K),1997,780x600,"Digital montage, printed in black. vignette",21,Prints,1996-2001,Nijinsky (Catalana Blanca),1997,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),145,Metamorphosis (Catalana Blanca),1997,780x600,"Photo etching, aquatint & plastic engraving, printed in black grey, red & green",22,Prints,1996-2001,Metamorphosis (Catalana Blanca),1997,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),146,Monument to a Housewife (K),1997,780x600,"Digital montage, printed in black Vignette",23,Prints,1996-2001,Monument to a Housewife,1997,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),147,Still life with Beans (K),1997,,Digital litho and watercolour,24,Prints,1996-2001,Still life with Beans,1997,600 x 780 mm,field,Print,exact,1.00,ok,inventory has no size,site generic
Prints & Graphic Works (1959-2005),148,From Van Gogh to Einstein,,,"Digital montage with litho, aquatint & woodcut, Vignette (Several sizes)",25,Prints,1996-2001,From Van Gogh to Einstein,1999,600 x 430 mm,field,Print,exact,1.00,inventory has no year,inventory has no size,site generic
Prints & Graphic Works (1959-2005),149,The bowels of the earth,1996,600x780,Digital litho & aquatint. Vignette,26,Prints,1996-2001,The bowels of the earth,1996,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),150,Palm roots Searching for Water (K),1997,900x630,Digital montage & plastic engraving,27,Prints,1996-2001,Palmroots Searching for Water,1997,900 x 630 mm,field,Print,exact,0.98,ok,ok,site generic
Prints & Graphic Works (1959-2005),151,Seed onions,1997,800x700,Digital print and watercolour,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),152,In the Patio,1997,700x900,Digital print and woodcut,8,Prints,2011-2016,In the Patio,1997,700 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),153,"Getting High (kite made of orange peel, wire & rubber band)",1998,,Digital montage. vignette,29,Prints,1996-2001,"Getting High, (kite made of orange peel, wire & rubber band)",1998,,,Print,exact,1.00,ok,inventory has no size,site generic
Prints & Graphic Works (1959-2005),154,Twiggy - Face,1998,900x680,Digital montage. vignette,30,Prints,1996-2001,Twiggy - Face,1998,900 x 680 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),155,Twiggy - Nude,1998,780x600,Digital montage printed in black vignette,31,Prints,1996-2001,Twiggy - Nude,1998,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),156,Twiggy with red lips,1998,650x930,Digital print and woodcut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),157,Twiggy with Coloured background,1998,650x930,Digital print and woodcut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),158,Nunhead Cemetery,1998,900x630,"Digital montage, plastic engraving & woodcut, printed in black, brown, red, green & yellow vignette",32,Prints,1996-2001,Nunhead Cemetery,1998,900 x 630 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),159,The Collector,2000,780x600,Etching and surface print,33,Prints,1996-2001,The Collector,2000,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),160,The Blue Mine,2000,600x780,Etching,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),161,Mystification,2000,780x600,"Digital litho & aquatint printed in black, red, brown, blue & ochre vignette",,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),162,A Knock at the Door,2001,760x560,Etching and plastics print,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),163,Figs and Old Rope,1999,760x560,Digital montage and wood cut,34,Prints,1996-2001,Figs and Old Rope,1999,760 x 560 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),164,Sheets Drying (Washday),2000,600x780,Digital montage printed in black. vignette,35,Prints,1996-2001,Sheets Drying (Washday),2000,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),165,Mantegna's Kitchen (Washday) (K),2000,780x600,Digital montage printed in black. vignette,36,Prints,1996-2001,Mantegna's Kitche (Washday),2000,780 x 600 mm,field,Print,exact,0.98,ok,ok,site generic
Prints & Graphic Works (1959-2005),166,Annunciation (Washday),2000,780x600,Digital montage. vignette,37,Prints,1996-2001,Annunciation (Washday),2000,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),167,Sheets & Hay (Washday),2000,780x600,Digital montage. vignette,38,Prints,1996-2001,Sheets & Hay (Washday),2000,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),168,Sheets with Flowers & Basket (Washday) (K),2000,630x900,Digital montage. Vignette,39,Prints,1996-2001,Sheets with Flowers & Basket (Washday),2000,630 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),169,Sheet & Cooking pot (Washday),2000,780x600,Digital montage. Vignette,40,Prints,1996-2001,Sheet & cooking pot (Washday),2000,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),170,Fishwife (Washday),2000,900x600,Digital montage. Vignette,41,Prints,1996-2001,Fishwife (Washday),2000,900 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),171,Sheet sculpture (Washday),2000,900x600,"Digital montage, watercolour. Vignette",42,Prints,1996-2001,Sheet sculpture (Washday),2000,900 x 600 mm,field,Sculpture,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),172,Self defence,2001,530x760,Digital collage in colour,501,Watercolours & Collages,Guess who is coming for dinner,05 Self defence,2001,530 x 760 mm,field,"Collage, Watercolour",probable,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),173,Dawn (Helios),2000,680x780,"Digital montage, watercolour. Vignette",43,Prints,1996-2001,Dawn (Helios),2000,680 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),174,Morning (Helios),2000,900x700,"Digital montage, watercolour. Vignette",44,Prints,1996-2001,Morning (Helios),2000,900 x 700 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),175,Midday (Helios),2000,900x640,"Digital montage, watercolour. Vignette",45,Prints,1996-2001,Midday (Helios),2000,900 x 640 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),176,Dusk (Helios),2000,680x780,"Digital montage, watercolour. Vignette",46,Prints,1996-2001,Dusk (Helios),2000,680 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),177,The cockerel Sheherezade (Helios),2000,830x670,Digital montage Vignette,47,Prints,1996-2001,The cockerel Sheherezade (Helios),2000,830 x 670 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),178,Tablewear,2001,,"Digital montage, watercolour. Vignette",48,Prints,1996-2001,Tablewear,2001,780 x 600 mm,field,Print,exact,1.00,ok,inventory has no size,site generic
Prints & Graphic Works (1959-2005),179,Variable Lights (K),2000,107x760,"Line engraving & woodcut printed in black, red, blue, yellow, green, brown, mauve, orange & ochre",49,Prints,1996-2001,Variable Lights,2000,107 x 760 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),180,Mobius Striptease (K),2001,780x600,Litho & brushed sand in acrylic box,50,Prints,1996-2001,Mobius Striptease,2001,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),181,Book of Sand Cover (Artist's Book with poems by David Gascoyne) (K),2001,340x280,Line engraving on acrylic,51,Prints,1996-2001,Book of Sand Cover (Artists Book with poems by David Gascoyne),2001,340 x 280 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),182,Blake (The Book of Sand),2001,340x280,Digital montage. vignette,53,Prints,1996-2001,Blake (The Book of Sand),2001,340 x 280 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),183,Men seen afar (The Book of Sand) (K),2001,900x630,Digital montage. vignette,54,Prints,1996-2001,Men seen afar (The Book of Sand),2001,900 x 630 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),184,Winged Creatures (The Book of Sand),2001,800x530,Digital montage. vignette,55,Prints,1996-2001,Winged Creatures (The Book of Sand),2001,800 x 530 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),185,The Round Dance (The Book of Sand),2001,630x900,Digital montage. Vignette,56,Prints,1996-2001,The Round Dance (The Book of Sand),2001,630 x 900 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),186,The Janus Gaze (The Book of Sand),2001,800x630,Digital montage. Vignette,57,Prints,1996-2001,The Janus Gaze (The Book of Sand),2001,800 x 630 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),188,Patterns Flow Like Rivers (The Book of Sand),2001,900x630,Digital montage. Vignette,58,Prints,1996-2001,Patterns Flow Like Rivers (The Book of Sand),2001,900 x 630 mm,field,Artist's Book,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),189,Women Waiting for their Lovers (The Book of Sand),2001,900x630,Digital montage. Vignette,59,Prints,1996-2001,Women Waiting fot their Lovers (The Book of Sand),2001,900 x 630 mm,field,Artist's Book,exact,0.98,ok,ok,site generic
Prints & Graphic Works (1959-2005),190,The Spanish couple (The Book of Sand),,,Digital montage,52,Prints,1996-2001,The Spanish Couple (The Book of Sand),2001,580 x 440 mm,field,Artist's Book,exact,1.00,inventory has no year,inventory has no size,site generic
Prints & Graphic Works (1959-2005),191,Preliminaries to Farewell (The Book of Sand),2001,630x900,Digital montage. Vignette,60,Prints,1996-2001,Prelimilaries to Farewell (The Book of Sand),2001,630 x 900 mm,field,Artist's Book,exact,0.98,ok,ok,site generic
Prints & Graphic Works (1959-2005),192,The Desert (Ghost Stories) (K),2001,820x930,Digital montage Vignette,61,Prints,1996-2001,The Desert (Ghost Stories),2001,820 x 930 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),193,Scarecrows and Ghosts (Ghost Stories) (K),2001,630x900,Digital montage. Vignette,62,Prints,1996-2001,Scarecrows and Ghosts (Ghost Stories),2001,630 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),194,Scare Crow and Rabbit Scare (Ghost Stories),2001,780x600,Digital montage & watercolour Vignette,63,Prints,1996-2001,Scare Crow and Rabbit Scare (Ghost Stories),2001,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),195,Déjeuner sans Herbes (Ghost Stories) (K),2001,630x900,Digital montage and watercolour,64,Prints,1996-2001,Dejeuner sans Herbes (Ghost Stories),2001,630 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),196,Combat,2001,,Digital Montage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),197,Ghost Story (Ghost Stories),2001,660x760,Chair Persons,65,Prints,1996-2001,Ghost Story (Ghost Stories),2001,660 x 760 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),198,Chair Persons,2001,780x600,Digital montage Vignette,66,Prints,1996-2001,Chair Persons,2001,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),199,No Exit (Shipyard) (K),2002,1180x600,Digital montage & watercolour Vignette,160,Prints,2002-2006l,No Exit (Shipyard),2002,1180 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),200,Clowns,2003,850x103,Digital montage (original collage),,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),201,Clowns in Black,2003,850x103,Digital montage (original collage),,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),202,Shipyard Aerial View (Shipyard) (K),2002,1180x720,Digital montage & watercolour Vignette,161,Prints,2002-2006l,Shipyard Aerial View (Shipyard),2002,1180 x 720 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),203,Ship shapes,2002,,,167,Prints,2002-2006l,Ship Shapes (Shipyard),2002,,,Print,exact,1.00,ok,inventory has no size,inventory has no technique
Prints & Graphic Works (1959-2005),204,Shipyard Aerial View No 2 (Shipyard),2002,,"Digital montage & woodcut, printed in black, red, blue, yellow, & raw umber Vignette",,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),205,Figurehead (Shipyard) (K),2002,900x700,Digital montage. Vignette,162,Prints,2002-2006l,Figurehead (Shipyard),2002,900 x 700 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),206,Secret Patterns,2002,,Digital montage and watercolour,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),207,Augustine's Shipyard (Shipyard),2002,750x1180,"Digital montage & woodcut, printed in black, orange, blue, yellow & raw umber. Vignette",163,Prints,2002-2006l,Augustine's Shipyard (Shipyard),2002,750 x 1180 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),208,Kabuki (Shipyard) (K),2002,850x800,"Digital montage and woodcut, printed in black, Vignette",164,Prints,2002-2006l,Kabuki 1 (Shipyard),2002,850 x 800 mm,field,Print,exact,0.94,ok,ok,site generic
Prints & Graphic Works (1959-2005),209,Odyssey (Shipyard) (K),2002,600x900,Digital montage & watercolour Vignette,165,Prints,2002-2006l,Odyssey (Shipyard),2002,600 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),210,Lobster Pots (Shipyard),2002,780x960,Digital montage & watercolour Vignette,166,Prints,2002-2006l,Lobster Pots (Shipyard),2002,780 x 960 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),211,Refit (Shipyard),2003,900x601,Engraving with light digital print with woodcut,169,Prints,2002-2006l,Refit (Shipyard),2003,900 x 601 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),212,Sculpture with grass and stubble,2001,107x680,Digital montage & woodcut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),213,To Catch a Butterfly (colour),2003,630x900,Digital montage & watercolour,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),214,Free (The Gates of Hell - Detail),2003,730x601,Digital montage & watercolour,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),215,Free (The Gates of Hell - Detail),2003,730x601,Digital montage and watercolour (Several sizes),170,Prints,2002-2006l,Free (The Gates of Hell - Detail),2003,730 x 601 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),216,The Gates of Hell,2003,1350x900,Digital montage and watercolour,171,Prints,2002-2006l,The Gates of Hell,2003,1350 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),217,Picnic,2005,970x1220,Digital print& Woodcut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),218,Afterlife,,900x610,Digital print& Woodcut,172,Prints,2002-2006l,Afterlife,2004,900 x 610 mm,field,Print,exact,1.00,inventory has no year,ok,site generic
Prints & Graphic Works (1959-2005),219,Another butterfly,2004,760x560,Digital Montage with woodcut,173,Prints,2002-2006l,Another Butterfly,2004,760 x 560 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),220,To Catch a Butterfly,2004,550x760,Digital montage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),221,Bark,2003,760x550,Digital Montage,174,Prints,2002-2006l,Bark on Picon,2004,760 x 560 mm,field,Print,probable,0.80,MISMATCH,MISMATCH,site generic
Prints & Graphic Works (1959-2005),222,Twigs,2003,80x620,,176,Prints,2002-2006l,Twigs And Shoots,2004,900 x 680 mm,field,Print,probable,0.80,MISMATCH,MISMATCH,inventory has no technique
Prints & Graphic Works (1959-2005),223,Grunewald,2003,780x580,Digital montage& Woodcut (2 versions),175,Prints,2002-2006l,Grunewald,2003,780 x 580 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),224,Self defence & Defence,2004,530x760,Digital montage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),225,Self protection,,530x760,Digital montage and collage,177,Prints,2002-2006l,Self Protection,2004,530 x 760 mm,field,Print,exact,1.00,inventory has no year,ok,site generic
Prints & Graphic Works (1959-2005),226,To Challenge (From Text messages),2005,660x460,Digital print and Wood cut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),227,Stones in sunlight and moonlight,2006,890x630,Digital montage & Woodcut,180,Prints,2002-2006l,Stones in Sunlight and Moonlight (Floating World),2006,890 x 630 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),228,The floating world,2006,642x514,Digital montage,181,Prints,2002-2006l,The Floating World (Floating World),2006,642 x 514 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),229,Grass,2006,820x620,Digital montage and wood cut,113,Prints,2007-2010,Grass,2006,820 x 620 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),230,Crusade,2006,700x1000,Digital montage and wood cut,182,Prints,2002-2006l,Crusade (Floating World),2006,700 x 1000 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),231,Walking on water (The Floating World),2006,910x700,Digital montage and woodcut,183,Prints,2002-2006l,Walking on Water (Floating World),2006,910 x 700 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),232,Mirage (The Floating World),2006,642x514,Digital montage with woodcut,178,Prints,2002-2006l,Mirage (Floating World),2006,642 x 514 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),233,Engraved sculpture (The Floating World),2006,750x560,Digital montage and watercolour,184,Prints,2002-2006l,Engraved Sculpture (Floating World),2006,750 x 560 mm,field,"Engraving, Sculpture",exact,1.00,ok,ok,MISMATCH
Prints & Graphic Works (1959-2005),234,Engraved stones (The Floating World),2006,700x900,Digital montage with woodcut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),235,Sculpture in Grass and Stubble (The Floating World),2006,1070x680,Digital Montage with woodcut,179,Prints,2002-2006l,Sculpture in Grass and Stubble (Floating World),2006,1070 x 680 mm,field,Sculpture,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),236,Grass and netting (The Floating World),2006,560x750,Digital montage and wood cut,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),237,Ragtime 1,2005,750x560,Digital montage and woodcut,185,Prints,2002-2006l,Ragtime A,2005,750 x 560 mm,field,Print,probable,0.89,ok,ok,site generic
Prints & Graphic Works (1959-2005),238,Ragtime 2,2005,750x560,Digital montage and woodcut,186,Prints,2002-2006l,Ragtime B,2005,750 x 560 mm,field,Print,probable,0.89,ok,ok,site generic
Prints & Graphic Works (1959-2005),239,Ragtime 3,2006,750x560,Digital print,187,Prints,2002-2006l,Ragtime C,2006,750 x 560 mm,field,Print,probable,0.89,ok,ok,site generic
Prints & Graphic Works (1959-2005),240,Picnic,2006,970x1220,Digital print (1 framed),188,Prints,2002-2006l,Picnic,2006,970 x 1220 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),241,The Grand Memorabilia,2006,550x900,Digital montage (original Collage),189,Prints,2002-2006l,The Grand Memorabilia,2006,550 x 900 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),242,Memorabilia (small version),2006,,Digital print,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),243,The Wave,,,Digital print (2 sizes),,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),244,Amazon (detail),2006,650x760,Plastics engraving,111,Prints,2007-2010,Amazon,2006,650 x 760 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),245,Tatjana's letter,2002,,Digital print,7,Prints,2011-2016,Tatjana's Letter,2002,700 x 980 mm,field,Print,exact,1.00,ok,inventory has no size,site generic
Prints & Graphic Works (1959-2005),246,Kabuki,2002,880x810,Digital print and wood cut,,,,,,,,,unmatched,,,,
