inv_section,inv_no,inv_title,inv_year,inv_size_mm,inv_technique,site_index,site_category,site_subcategory,site_title,site_date,site_dimensions,site_dims_source,site_technique,match,match_score,date_check,dim_check,technique_check
Prints & Graphic Works (1959-2005),29,The Judge (Le Balcon page 3) (K),1964,640x500,"Line-engraving, aquatint, soft ground etching & drilling, printed in black",93,Prints,1959-1966,The Judge (Le Balcon.. page 3),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),30,Chantal (Le Balcon page 4),1964,640x500,"Line-engraving, aquatint, drilling printed in black, red, blue. Gilded",94,Prints,1959-1966,Chantal (Le Balcon.. page 4),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),31,Mme. The Queen (Le Balcon page 5),1964,640x500,"Sugar aquatint, printed in black, red & yellow",95,Prints,1959-1966,Mme. The Queen (Le Balcon.. page 5),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),32,The Bishop (Le Balcon page 6),1964,640x500,"Line-engraving, aquatint & drilling, printed in black. Gilded",96,Prints,1959-1966,The Bishop (Le Balcon.. page 6),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),33,The Orator & the Crowd (Le Balcon page 7) (K),1964,640x500,"Line-engraving, hammered & cut plate. Colour viscosity print in red, blue, & black",97,Prints,1959-1966,The Orator & the Crowd (Le Balcon.. page 7) jpg,1964,640 x 500 mm,field,Print,exact,0.95,ok,ok,site generic
Prints & Graphic Works (1959-2005),34,The Queen (Le Balcon page 8) (K),1964,640x500,"Line-engraving, soft ground, open bite & drilling, printed in black and yellow",98,Prints,1959-1966,The Queen (Le Balcon.. page 8),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),35,Mausoleum for the chief of the secret police (Le Balcon page 9),1964,640x500,"Line engraving, sugar aquatint, metal mesh cut-out drilled. Printed in black & Gilded",99,Prints,1959-1966,Mausoleum for the chief of the secret police (Le Balcon),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),36,Everyday Irreality (Le Balcon page 10) (K),1964,640x500,"Line engraving, sugar aquatint, photo etching drilled. Printed in black. Mirror foil collage",100,Prints,1959-1966,Everyday Irreality (Le Balcon.. page 10) 67,1964,640 x 500 mm,field,Print,exact,0.96,ok,ok,site generic
Prints & Graphic Works (1959-2005),37,The Fire (Le Balcon page 11),1964,640x500,"Brushed aquatint & deep bite, printed in black, red & mauve",101,Prints,1959-1966,The Fire (Le Balcon.. page 11),1964,640 x 500 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),38,Blind Landing (K),1964,380x480,"Pressed & extruded metal, surface & intaglio print. Vignette. Printed in black, green & red",102,Prints,1959-1966,Blind Landing,1964,380 x 480 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),39,Bee master,1964,480x380,"Deep etched, engraved & drilled. Colour viscosity printed in blue & orange. vignette",103,Prints,1959-1966,Beemaster,1964,480 x 380 mm,field,Print,exact,0.95,ok,ok,site generic
Prints & Graphic Works (1959-2005),40,The Artists Skin (K),1965,800x600,Hammered & woven brass vignette. Printed in brown & orange. vignette,104,Prints,1959-1966,The Artists Skin,1965,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),41,The Miracle Worker,1964,580x460,"Line engraving, letter punch, hammered, surface & intaglio, printed in black. Vignette",105,Prints,1959-1966,The Miracle Worker,1964,580 x 460 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),42,Mass Hysteria,1964,580x460,"Deep-bite, drilling & metal foil collage printed in black, brown, ochre & red",106,Prints,1959-1966,Mass Hysteria,1964,580 x 460 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),43,Curven Gallery Exhibition Poster,1965,540x450,"Folded bronze cut out, line engraving & litho vignette. Printed in black, yellow & red. vignette",107,Prints,1959-1966,Curven Gallert Exhibition Poster,1965,540 x 450 mm,field,Print,exact,0.97,ok,ok,site generic
Prints & Graphic Works (1959-2005),44,Melting point,1965,800x590,"Deep-bite drilling. Colour viscosity print in black, red & mauve",108,Prints,1959-1966,Meltingpoint,1965,800 x 590 mm,field,Print,exact,0.96,ok,ok,site generic
Prints & Graphic Works (1959-2005),45,The Escapist,1965,800x600,,109,Prints,1959-1966,The Escapist,1965,800 x 600 mm,field,Print,exact,1.00,ok,ok,inventory has no technique
Prints & Graphic Works (1959-2005),46,Sappho,1966,780x600,"Line engraving, & brass cut-out, printed in black, ochre, pink & red",116,Prints,1966-1976,Sappho,1966,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),47,The Wise and Foolish Virgin,1966,780x600,"Line engraving, aquatint, hammered brass, photogravure & plastic engraving, printed in black, blue & yellow",117,Prints,1966-1976,The Wise and Foolish Virgin,1966,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),48,Old Wife's Tale,1966,780x600,"Line engraving, aquatint & surface rolled brass, printed in black, ochre, pink & red",118,Prints,1966-1976,Old Wife's Tale,1966,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),49,Play (K),1966,780x600,"Photogravure, aquatint, cutout & rope. Vignette. Printed in black, green, magenta, yellow & gray",119,Prints,1966-1976,Play,1966,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
